risk_aversion,kappa,base_qty,overlay_p_market,join_best,improve_best,imbalance_sensitivity,imbalance_level,inv_penalty_lambda,mtm_mean,mtm_std,mtm_abs_mean,inv_mean,inv_abs_mean,spread_mean,sharpe_event_mean,sharpe_event_adj_mean,sharpe_event_pooled,sharpe_event_adj_pooled,fills_mean,filled_qty_mean,delta_count
0.2,0.1,1,0.05,False,True,0.5,1,0.1,11969.55,2018.1879723322768,11969.55,22.7,22.7,1.9,15.43884503612955,9.395997390055916,48.50781664229372,29.460661431344054,565.8,607.1,49391.9
0.2,0.1,1,0.05,False,True,0.0,1,0.1,11917.95,1971.4476977591873,11917.95,22.8,22.8,1.9,15.382217478140111,9.34814511106895,48.282629641753005,29.27701438773476,567.0,607.8,49392.6
0.2,0.01,2,0.05,False,True,1.0,1,0.1,4998.25,1482.147264575585,4998.25,7.4,7.4,1.8,13.016198222774083,9.346484358581636,41.38063745799955,28.93957074774454,631.9,1034.6,49239.0
0.1,0.5,1,0.05,False,True,0.5,1,0.1,12743.5,1653.2846262986768,12743.5,25.1,25.1,1.9,15.490330529575012,9.224881772333806,48.94018979686684,29.18393252290173,570.5,620.1,49319.7
0.3,0.5,2,0.05,False,True,1.0,1,0.1,5321.75,1624.7514382548216,5321.75,9.9,9.9,2.4,13.577639399699882,9.208256180507533,42.98980412630592,27.547030600728288,648.9,1053.3,49137.0
0.2,0.5,2,0.05,False,True,1.0,1,0.1,5686.25,1724.310445914218,5686.25,8.7,9.7,1.9,13.546837890543134,9.116629588191767,43.11217828557703,28.43762212054866,633.1,1033.3,49232.5
0.3,0.01,2,0.05,False,True,0.0,1,0.1,4750.85,1421.057275606988,4750.85,7.3,7.7,1.9,12.503636355044486,9.068159671551465,39.35302023153843,27.18929699629067,622.8,1022.7,49197.4
0.1,0.1,1,0.05,False,True,0.0,1,0.1,11910.65,1862.8613899947932,11910.65,23.2,23.2,2.1,14.943735820993655,9.059947544310914,47.16179159757268,28.660737157420787,551.0,591.2,49377.9
0.3,0.05,1,0.05,False,True,0.0,1,0.1,11910.65,1862.8613899947932,11910.65,23.2,23.2,2.1,14.943735820993655,9.059947544310914,47.16179159757268,28.660737157420787,551.0,591.2,49377.9
0.3,0.05,1,0.05,False,True,0.5,1,0.1,11910.65,1862.8613899947932,11910.65,23.2,23.2,2.1,14.943735820993655,9.059947544310914,47.16179159757268,28.660737157420787,551.0,591.2,49377.9
